id_respuesta,empresa_id,region,segmento,antiguedad_cliente,n_compras,nps_score,sat_producto,sat_servicio,sat_precio,sat_soporte,sat_entrega
322,EMP016,Norte,Pyme,5,10,8,1,2,1,3,3
323,EMP016,Norte,Pyme,5,5,4,2,3,2,2,4
324,EMP016,Norte,Pyme,5,6,5,2,1,1,2,1
325,EMP016,Norte,Pyme,5,5,6,4,2,1,3,1
326,EMP016,Norte,Pyme,5,6,6,2,2,2,2,3
327,EMP016,Norte,Pyme,5,8,8,3,4,4,2,2
328,EMP016,Norte,Pyme,5,5,6,2,2,3,3,2
329,EMP016,Norte,Pyme,5,8,6,2,3,3,2,4
330,EMP016,Norte,Pyme,5,5,0,3,3,3,2,1
331,EMP016,Norte,Pyme,5,7,6,4,2,2,3,3
332,EMP016,Norte,Pyme,5,5,3,1,3,3,2,2
333,EMP016,Norte,Pyme,5,5,5,3,4,2,4,1
334,EMP016,Norte,Pyme,5,8,4,2,2,2,4,2
335,EMP017,Norte,Pyme,2,9,7,1,3,1,2,2
336,EMP017,Norte,Pyme,2,5,5,2,2,3,1,2
337,EMP017,Norte,Pyme,2,4,5,2,3,3,2,2
338,EMP017,Norte,Pyme,2,7,5,2,2,2,2,3
339,EMP017,Norte,Pyme,2,7,6,3,2,2,2,3
340,EMP017,Norte,Pyme,2,4,3,3,3,1,1,2
341,EMP017,Norte,Pyme,2,3,8,2,2,2,3,3
342,EMP017,Norte,Pyme,2,7,6,3,2,1,1,2
343,EMP017,Norte,Pyme,2,4,7,4,1,3,2,4
344,EMP017,Norte,Pyme,2,4,10,3,1,2,2,3
345,EMP017,Norte,Pyme,2,4,4,3,2,2,2,3
346,EMP017,Norte,Pyme,2,2,8,3,2,1,1,2
347,EMP017,Norte,Pyme,2,2,9,2,2,1,1,2
348,EMP017,Norte,Pyme,2,5,8,2,2,3,2,2
349,EMP017,Norte,Pyme,2,7,7,2,2,1,2,2
350,EMP017,Norte,Pyme,2,5,9,1,2,2,2,2
351,EMP017,Norte,Pyme,2,6,5,1,4,1,2,3
352,EMP017,Norte,Pyme,2,9,4,1,3,2,1,3
353,EMP018,Metropolitana,Pyme,9,11,8,2,2,3,3,2
354,EMP018,Metropolitana,Pyme,9,8,8,3,5,3,1,2
355,EMP018,Metropolitana,Pyme,9,7,10,3,5,2,2,4
356,EMP018,Metropolitana,Pyme,9,6,9,3,3,1,3,2
357,EMP018,Metropolitana,Pyme,9,7,8,3,4,1,3,3
358,EMP018,Metropolitana,Pyme,9,11,7,2,3,3,3,4
359,EMP018,Metropolitana,Pyme,9,11,10,4,4,3,4,2
360,EMP018,Metropolitana,Pyme,9,8,3,3,2,2,2,2
361,EMP018,Metropolitana,Pyme,9,7,6,3,3,3,3,5
362,EMP018,Metropolitana,Pyme,9,10,8,3,3,3,3,2
363,EMP018,Metropolitana,Pyme,9,8,5,4,3,2,4,2
364,EMP018,Metropolitana,Pyme,9,8,8,3,4,4,5,4
365,EMP018,Metropolitana,Pyme,9,9,6,1,2,3,4,4
366,EMP018,Metropolitana,Pyme,9,16,6,4,3,2,3,3
367,EMP018,Metropolitana,Pyme,9,9,6,3,3,2,3,3
368,EMP018,Metropolitana,Pyme,9,9,9,2,3,3,2,2
369,EMP018,Metropolitana,Pyme,9,9,7,2,3,2,2,4
370,EMP018,Metropolitana,Pyme,9,8,6,3,3,3,4,3
371,EMP018,Metropolitana,Pyme,9,7,9,4,3,4,3,4
372,EMP018,Metropolitana,Pyme,9,10,10,4,3,3,3,3
373,EMP018,Metropolitana,Pyme,9,9,7,3,2,3,2,3
374,EMP018,Metropolitana,Pyme,9,7,8,2,3,3,3,2
375,EMP018,Metropolitana,Pyme,9,11,10,2,2,2,2,3
376,EMP019,Centro,Pyme,6,8,7,3,3,1,2,2
377,EMP019,Centro,Pyme,6,7,5,2,3,1,3,3
378,EMP019,Centro,Pyme,6,8,7,3,2,2,2,1
379,EMP019,Centro,Pyme,6,7,8,3,2,2,4,4
380,EMP019,Centro,Pyme,6,7,8,2,2,2,3,3
381,EMP019,Centro,Pyme,6,6,5,3,2,3,3,5
382,EMP019,Centro,Pyme,6,6,10,2,1,2,2,2
383,EMP019,Centro,Pyme,6,5,10,2,3,3,1,3
384,EMP019,Centro,Pyme,6,8,8,3,2,2,4,4
385,EMP019,Centro,Pyme,6,7,6,2,3,2,2,3
386,EMP019,Centro,Pyme,6,9,6,4,1,3,3,3
387,EMP019,Centro,Pyme,6,7,2,2,4,3,3,3
388,EMP019,Centro,Pyme,6,11,4,3,2,1,2,3
389,EMP019,Centro,Pyme,6,7,4,3,3,2,4,5
390,EMP019,Centro,Pyme,6,4,5,3,4,3,3,4
391,EMP019,Centro,Pyme,6,6,10,2,1,3,5,2
392,EMP019,Centro,Pyme,6,6,6,3,2,2,3,3
393,EMP019,Centro,Pyme,6,7,8,4,3,4,3,3
394,EMP019,Centro,Pyme,6,8,6,3,2,1,2,4
395,EMP019,Centro,Pyme,6,8,8,2,1,1,2,3
396,EMP019,Centro,Pyme,6,7,9,3,3,1,3,3
397,EMP019,Centro,Pyme,6,11,9,3,4,2,2,4
398,EMP019,Centro,Pyme,6,5,8,4,1,2,3,3
399,EMP019,Centro,Pyme,6,7,10,2,4,2,3,4
400,EMP019,Centro,Pyme,6,8,5,2,2,3,2,2
401,EMP020,Oriente,Pyme,1,3,7,3,2,2,1,1
402,EMP020,Oriente,Pyme,1,4,7,2,1,3,4,2
403,EMP020,Oriente,Pyme,1,5,4,3,1,1,2,2
404,EMP020,Oriente,Pyme,1,3,7,1,1,1,3,4
405,EMP020,Oriente,Pyme,1,2,6,2,1,1,2,2
406,EMP020,Oriente,Pyme,1,3,6,2,2,1,4,2
407,EMP020,Oriente,Pyme,1,6,8,2,2,4,2,2
408,EMP020,Oriente,Pyme,1,5,5,1,3,4,2,1
409,EMP020,Oriente,Pyme,1,3,7,2,4,1,2,3
410,EMP020,Oriente,Pyme,1,4,5,1,2,3,2,3
411,EMP020,Oriente,Pyme,1,2,6,3,1,1,2,2
412,EMP020,Oriente,Pyme,1,7,10,2,4,2,2,4
413,EMP020,Oriente,Pyme,1,4,4,2,3,2,2,3
414,EMP020,Oriente,Pyme,1,1,7,2,3,4,1,3
415,EMP020,Oriente,Pyme,1,3,10,3,1,2,2,2
416,EMP020,Oriente,Pyme,1,3,5,3,1,2,1,2
417,EMP020,Oriente,Pyme,1,5,9,1,3,1,3,3
418,EMP021,Norte,Mediana,1,2,3,1,1,3,2,2
419,EMP021,Norte,Mediana,1,5,7,2,2,3,2,3
420,EMP021,Norte,Mediana,1,5,4,1,2,1,1,2
421,EMP021,Norte,Mediana,1,8,3,1,4,2,4,4
